TRX_TYPE	TX_DESC	CHANNEL	BILLER_TARGET	JENIS_TRX	mapping_sendiri		
TRF-BILL_P	TLKM BEKASI	ATM	TELKOM	PAYMENT			
TRF-BILL_P	DOMPET DHUAFA INFAQ	ATM	INFAQ	PAYMENT			
TRF-BILL_P	SPC UMN	ATM	SPC UMN	PAYMENT			
TRF-BILL_P	LINKAJA	ATM	LINKAJA	PAYMENT			
TRF-BILL_P	PBB MALANG	ATM	PBB MALANG	PAYMENT			
TRF-BILL_P	H2H UNDIP	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	GARUDA INDONESIA	ATM	GARUDA	PURCHASE			
TRF-BILL_P	UIN SUSKA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PP3 BENOA	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PLN PREPAID:100000	ATM	PLN PREPAID:100000	PURCHASE			
TRF-BILL_P	PBB KEDIRI	ATM	PBB KEDIRI	PAYMENT			
TRF-BILL_P	TLKM JAKPUS	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PDAM MANADO	ATM	MANADO	PAYMENT			
TRF-BILL_P	PP4 NEW MAKASSAR	ATM	?	?			
TRF-BILL_P	TLKM SUMSEL	ATM	TELKOM	PAYMENT			
TRF-BILL_P	SPC UGM	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PLN BALI	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PP4 SORONG	ATM	PELINDO	PAYMENT			
TRF-BILL_P	FREN:50000	ATM	SMARTFREN	PURCHASE			
TRF-BILL_P	PDAM AETRA	ATM	AETRA	PAYMENT			
TRF-BILL_P	PBB AMBON	ATM	?	?			
TRF-BILL_P	SPC H2H UNRI	ATM	SPC H2H UNRI	PAYMENT			
TRF-BILL_P	PP3 GRESIK	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PBB TOUNA	ATM	?	?			
TRF-BILL_P	KAI AGKT BRG	ATM		OTHERS			
TRF-BILL_P	SPC ISI YK	ATM	SPC ISI YK	PAYMENT			
TRF-BILL_P	BRI CC CARD	ATM	BRI	PAYMENT			
TRF-BILL_P	PDAM KAB.BOGOR	ATM	KAB.BOGOR	PAYMENT			
TRF-BILL_P	PBB BATAM	ATM	?	?			
TRF-BILL_P	VCR TLKOMSEL:100000	ATM	TELKOMSEL	PURCHASE			
TRF-BILL_P	POLTEKPEL	ATM	POLTEKPEL	PAYMENT			
TRF-BILL_P	PBB PADANG	ATM	PBB PADANG	PAYMENT			
TRF-BILL_P	TLKM CIREBON	ATM	TELKOM	PAYMENT			
TRF-BILL_P	H2H UNESA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	H2H BPJS TK	ATM	BPJS TK	PAYMENT			
TRF-BILL_P	AA YKPN	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	IPCPONTIANAK	ATM	IPC PONTIANAK	PAYMENT			
TRF-BILL_P	PBB MOJOKERTO	ATM	PBB MOJOKERTO	PAYMENT			
TRF-BILL_P	PDAM SEMARANG	ATM	SEMARANG	PAYMENT			
TRF-BILL_P	HSBC PERSONAL LOAN	ATM	HSBC	PAYMENT			
TRF-BILL_P	TELKOM SOLO	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PBB SIDOARJO	ATM	PBB SIDOARJO	PAYMENT			
TRF-BILL_P	IPC JAMBI	ATM	IPC JAMBI	PAYMENT			
TRF-BILL_P	SUNAN KALIJAGA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PP4 NUNUKAN	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PBB SLEMAN	ATM	PBB SLEMAN	PAYMENT			
TRF-BILL_P	UNSRAT	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	SPC H2H USU	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	TELKOM UNIV	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	UNIMED H2H	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	DPU DT KURBAN	ATM	QURBAN	PAYMENT			
TRF-BILL_P	INDOSAT VOUCHER DATA	ATM	INDOSAT DATA	PURCHASE			
TRF-BILL_P	ESIA PREPAID:50000	ATM	ESIA	PURCHASE			
TRF-BILL_P	XL VOUCHER:150000	ATM	XL	PURCHASE			
TRF-BILL_P	PRUD LANJUT	ATM	PRUDENTIAL	PAYMENT			
TRF-BILL_P	TLKM SAMARINDA	ATM	TELKOM	PAYMENT			
TRF-BILL_P	TLKM PARE-PARE	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PDAM SMT	ATM	SMT	PAYMENT			
